människovärdet;0;vilka;;barn;18;riksdagen;;etik;0;vision;12;inkomstskatten;10;jämlik;3;;;
miljön;9;snarast;;ungdomar;18;vård;1;såsom;;ditt;;ideella;0;ideella;0;;;
vården;1;vården;1;unga;18;kristdemokraterna;14;barn;18;ideella;0;ii;;frihet;26;;;
familjen;23;biståndet;;satsa;0;mandatperioden;;garanterar;0;avskaffas;;kommuner;;max;;;;
kds;14;;;miljön;9;åren;;kristdemokraterna;14;medborgarskap;;stärk;0;organisationer;;;;
;;;;bekämpa;0;kostar;;åtgärder;0;samhälle;;organisationer;;kvotering;3;;;
;;;;utveckla;12;viktiga;0;kommun;;förtroende;0;kristdemokraterna;14;liv;0;;;
;;;;stöd;0;erbjudas;;barnen;18;kristdemokraterna;14;jobba;5;kristdemokraterna;14;;;
;;;;;;;;värden;0;engagemang;0;iiiiiiii;;gåvor;;;;
;;;;;;;;inrättas;;kommun;;pengar;13;förslag;;;;
;;;;;;;;skapa;;barnen;18;sparande;13;verksamhet;;;;
;;;;;;;;skola;2;familjer;23;finnas;;prioritera;0;;;
;;;;;;;;följande;;bostad;17;mänskligare;0;avdragen;10;;;
;;;;;;;;lovar;0;frågor;;finanserna;13;gemenskap;0;;;
;;;;;;;;god;0;finnas;;tryggare;0;medmänsklighet;0;;;
;;;;;;;;intensifieras;;utanför;16;hand;;barngruppernas;2;;;
;;;;;;;;konflikter;25;valfrihet;26;ansvar;0;grupp;;;;
;;;;;;;;konkreta;0;val;0;regler;;skillnaden;;;;
;;;;;;;;stödet;;köpa;;köer;;cancervården;1;;;
;;;;;;;;tiden;;dig;;direkt;;undanröja;;;;
;;;;;;;;;;;;;;;;;;
MP;;MP;;MP;;MP;;MP;;MP;;MP;;MP;;;;
gamla;;miljö;9;folkomröstningen;;miljö;9;emu;7;anställda;5;medelstora;;ekologisk;9;;;
kraftigt;;eg;;samhället;;hållbart;9;livsmiljö;11;studenter;2;naturen;9;klyftorna;4;;;
naturen;9;ökad;;ersättning;5;investeringar;12;nej;;främjas;0;omställning;;modernisera;12;;;
utsläpp;9;fossila;9;energi;9;samhälle;;utgår;;stärk;0;fossila;9;hälsa;1;;;
samhälle;;friheten;26;gröna;9;grund;;resurser;9;diskriminering;3;stärkas;0;dags;;;;
dröm;0;livet;0;lagstiftning;;kärnkraften;9;centrum;;istället;;regionala;20;lärare;2;;;
satsa;0;nej;;skatteväxling;10;sociala;;vänster;;Östersjön;9;hav;9;tåg;17;;;
;;ja;;nej;;demokratiskt;24;kräver;0;medborgarna;;lag;;bostad;17;;;
;;rätten;0;genomförs;;låga;;solidaritet;4;eu;7;billigare;0;skolor;2;;;
;;solidarisk;4;röst;;inkomster;5;barnens;18;stärkas;0;småföretag;6;varmare;9;;;
;;lovar;0;miljöpartiet;14;pengar;13;demokratin;24;levande;0;arbetstid;5;politik;;;;
;;accepterar;0;;;skola;2;generationer;;fn;7;energi;9;regering;;;;
;;kräver;0;;;beslut;;motverka;0;finansierad;;lönsamt;0;livskvalitet;0;;;
;;s;21;;;social;0;mat;9;kultur;22;bränslen;9;lag;;;;
;;öka;;;;ekologiskt;9;avveckla;;sektor;6;investera;12;medarbetare;5;;;
;;gröna;9;;;;;;;solidaritet;4;el;9;rättigheter;0;;;
;;arbetar;5;;;;;;;service;;hänsyn;0;höjas;;;;
;;bränslen;9;;;;;;;rättigheter;0;avveckla;;skolan;2;;;
;;miljöpartiet;14;;;;;;;byggas;;miljöpartiet;14;miljöpartiet;14;;;
;;;;;;;;;;bevaras;0;förnybar;9;hbtq;3;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
M;;M;;M;;M;;M;;M (alliansen);;M (alliansen);;M (alliansen);;;;
idéer;0;europa;7;företag;6;företag;6;företagande;6;förbättras;0;sid;;ohälsa;1;;;
europa;7;avskaffa;;samarbete;0;frihet;26;europa;7;program;;alliansens;14;alliansens;14;;;
frihet;26;moderaterna;14;frihet;26;avskaffa;;frihet;26;allians;14;framtida;12;jobb;5;;;
avskaffas;;samhälle;;europa;7;förnyelse;12;moderaterna;14;lärare;2;skarpa;;bygger;0;;;
sänks;;sänkta;;sänkta;10;stat;;friheten;26;män;;mandatperiod;;fortsätta;0;;;
framtidens;12;jordbruk;20;bäst;0;skatter;10;skatter;10;eu;7;fortsätter;;liv;0;;;
förbättras;0;skatter;10;samarbetet;0;välstånd;11;liv;0;föreslår;;genomförs;;kartlägga;;;;
kvalitet;0;spara;0;europas;7;utvecklas;12;eu;7;möjligheter;0;mandatperioden;;ökat;0;;;
;;framtiden;12;skatter;10;;;oecd;13;hopp;0;insatser;13;alliansregeringens;14;;;
;;tillväxt;13;utmaningar;0;;;alldeles;;reformer;;överskott;13;jobben;5;;;
;;familjer;23;rätten;0;;;skatterna;10;behandling;;arbetsmarknaden;5;eu;7;;;
;;slår;;möjligheter;0;;;företagen;6;utbildningen;2;följande;;insatser;;;;
;;fria;26;endast;;;;kraft;0;s;;förslag;;alliansregeringen;14;;;
;;individer;;fred;25;;;tillväxten;13;öka;;görs;;jobbskatteavdraget;10;;;
;;lägre;;välfärdspolitiken;11;;;enskilde;;brott;8;kommande;;brott;8;;;
;;skolan;2;europeiska;7;;;s;21;avgörande;;s;21;alliansen;14;;;
;;;;möjlighet;0;;;närmaste;;utanförskap;16;alliansen;14;förutsättningar;0;;;
;;;;riktiga;0;;;åren;;kvinnor;;arbete;5;satsningen;12;;;
;;;;starkt;0;;;familjen;23;;;sysselsättning;5;sverigebygget;12;;;
;;;;valfriheten;26;;;klarar;0;;;födda;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
S;;S;;S;;S;;S;;S;;S;;S;;;;
ökade;0;utveckling;12;budgetunderskottet;13;samarbete;0;världen;;teknik;12;skattesänkningar;10;välfärd;11;;;
bekämpa;0;x;;ökar;0;samarbetet;0;miljard;;förskolan;2;bort;;möjlig;0;;;
valperioden;;rättvisa;0;konfrontation;25;klyftorna;4;öppenhet;0;fortsätta;0;förskolan;2;kvaliteten;0;;;
områden;;ekonomin;13;miljö;9;framtiden;12;anställda;5;före;;jobb;5;kunskapsresultaten;2;;;
socialdemokratin;14;skapa;0;samverkan;0;rättvisan;0;förbättras;0;särskilda;;klyftorna;4;framtid;12;;;
;;socialdemokratin;14;klara;;barnen;18;fortsätta;0;fritids;18;istället;;rättvis;0;;;
;;handikappades;3;statsfinanserna;13;talet;;tillföra;0;socialdemokraterna;14;jobben;5;socialdemokraterna;14;;;
;;skapat;0;krisen;0;socialdemokratin;14;personal;5;stärkas;0;kvalitet;0;fred;25;;;
;;gemensamma;0;arbetslösheten;5;it;12;mandatperioden;;mandatperioden;;socialdemokraterna;14;skola;2;;;
;;trygghet;11;program;;krisen;;förbättra;0;bygga;12;personal;5;privatiseringar;6;;värdeord;0
;;goda;0;land;;tillväxten;13;behövs;;fred;25;sjukvård;1;kunskapsburen;2;;;
;;god;0;socialdemokratisk;14;vården;1;trygghet;11;full;;skatterna;10;professionella;5;;healthcare;1
;;klyftor;4;regering;;öka;0;kultur;22;omställningen;;företagen;6;pålitlig;0;;;
;;land;;arbetslösa;5;satsa;0;öka;0;taket;;höja;10;jobbpolitik;5;;education;2
;;arbete;5;;;omsorgen;1;unga;18;land;;väljer;;socialdemokrater;14;;;
;;arbetet;5;;;socialdemokrater;14;satsa;0;kunskap;2;växer;13;investera;12;;equality;3
;;ansvar;0;;;sysselsättningen;5;stärka;0;socialdemokrater;14;klyftor;4;välfärden;11;;;
;;vårt;;;;socialdemokratisk;14;tillvara;0;målet;0;folket;;vinstjakt;6;;class equality;4
;;resultat;0;;;skolan;2;socialdemokratisk;;arbetsliv;5;investera;12;ambitiös;0;;;
;;;;;;sysselsättning;5;idrottsrörelsen;18;sysselsättning;5;modern;12;bÄttre;0;;labor issues;5
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;business & the private sector;6
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Europé & abroad;7
V;;V;;V;;V;;V;;V;;V;;V;;;;
utveckling;12;kapital;13;välfärd;11;lågavlönade;5;grupper;4;utveckling;12;välfärd;11;välfärd;11;;crime/legal system/violence;8
arbetande;5;skola;2;vård;1;vänsterpartiet;14;orättvisorna;4;produktion;;arbetslivet;5;lagstiftningen;;;;
tillgångar;13;produktion;;socialt;;offentlig;;rättvisa;0;världen;;rättvisa;0;girighet;0;;environmental issues;9
insatser;;fri;26;hållbar;9;rika;4;skillnader;4;betalar;0;vänsterpartiet;14;rättvisa;0;;;
spekulation;6;demokratisk;24;vänsterpartiet;14;makt;0;vänsterpartiet;14;rättvisa;0;bygg;12;vänsterpartiet;14;;taxes;10
uppfylla;;våld;8;avgör;;leder;;löner;5;vänsterpartiet;14;demokratiskt;24;rika;4;;;
politiken;;samhälle;;tredje;;män;;rika;4;rika;4;rätten;0;samhälle;;;welfare;11
;;satsning;0;solidaritet;4;utbildning;2;arbetslöshet;5;usa;7;politik;;lita;0;;;
;;allas;;borgerliga;4;resurser;9;kvinnors;;arbetstillfällen;5;regering;;diskriminering;3;;innovation/future;12
;;sociala;0;omfördelning;4;högavlönade;4;män;;allas;;förändring;0;föra;;;;
;;stopp;;demokratin;24;;;arbetsdag;5;myndigheter;;vÄnstern;14;inkomst;5;;economy;13
;;arbete;5;arbetar;5;;;eus;7;kollektivavtal;5;framtidens;12;vänsterpartiets;14;;;
;;ökat;;sociala;0;;;bakgrund;;solidariskt;4;jobbet;5;hyresrätter;17;;self;14
;;fred;25;;;;;utländsk;16;demokrati;24;privat;6;sjuk;1;;;
;;;;;;;;landsting;;sektor;6;vÄgen;;tillfälligt;0;;;
;;;;;;;;arbetslösheten;5;hållbar;9;integritet;0;arbetslösheten;5;;;
;;;;;;;;makt;0;kräver;;rödgrön;14;solidaritet;4;;immigration/integration;16
;;;;;;;;fattiga;4;ställning;;heltid;5;borgerliga;4;;;
;;;;;;;;timmars;5;s;;kommunicera;;vinster;6;;infrastructure & housing;17
;;;;;;;;kvinnor;;sektorn;9;byt;;majoritet;;;;
;;;;;;;;;;;;;;;;;youth & children;18
;;;;;;;;;;;;;;;;;;
;;ND;;;;;;SD;;SD;;SD;;SD;;;elderly;19
;;grundlagen;;;;;;behövs;;vakt;;kraftig;8;förbättrad;0;;;
;;alkohol;;;;;;ekonomisk;13;bristande;0;förbättrad;8;kraftig;0;;rural/urban;20
;;verkligheten;;;;;;situation;;resurserna;13;höjning;;höjning;;;;
;;kostar;;;;;;alternativ;0;brottsligheten;8;brottsligheten;8;arbeta;5;;opposite block;21
;;anser;;;;;;sänks;10;traditionella;22;tradition;22;förändringar;0;;;
;;myndigheter;;;;;;ekologiskt;9;värna;22;medborgarna;;sverigedemokratiskt;14;;culture;22
;;medborgarna;;;;;;europas;7;djur;9;värdig;8;sverigedemokraterna;14;;;
;;råd;;;;;;brott;8;former;;utökat;;steg;;;family;23
;;sidan;;;;;;utvecklingen;12;skärpa;0;trygghet;11;medborgare;;;;
;;hänsyn;;;;;;länder;7;sverigedemokraterna;14;försvar;25;förstärkt;0;;democracy;24
;;hjälp;;;;;;skydd;0;kraftigt;14;skall;;stimulansbidrag;;;;
;;;;;;;;syfte;;övergrepp;8;utökad;;satsning;;;peace/conflict;25
;;;;;;;;;;verka;;invandrare;16;land;;;;
;;;;;;;;;;skall;;satsning;;arbetar;5;;freedom;26
;;;;;;;;;;slå;;undantag;;äldre;19;;;
;;;;;;;;;;kulturen;22;stärkt;0;valet;;;;
;;;;;;;;;;stödet;;vårt;;kulturarvet;22;;;
;;;;;;;;;;själva;;•;;självständig;0;;;
;;;;;;;;;;grova;8;stöd;;stöd;0;;;
;;;;;;;;;;motverka;0;;;syfte;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;FI;;FI;;FI;;;;
;;;;;;;;;;sexuell;3;initiativ;;feministisk;3;;;
;;;;;;;;;;löner;5;politiken;;initiativ;;;;
;;;;;;;;;;initiativ;;arbetsgivare;5;ekonomi;13;;;
;;;;;;;;;;hem;23;summa;;politiken;;;;
;;;;;;;;;;villkor;4;föräldraförsäkringen;11;mänskliga;0;;;
;;;;;;;;;;politiken;;nej;;diskriminering;3;;;
;;;;;;;;;;livets;0;utgår;;riksdag;;;;
;;;;;;;;;;liv;0;låta;;obetalda;3;;;
;;;;;;;;;;läggning;3;röst;;rasism;3;;;
;;;;;;;;;;dags;;resurser;9;mäns;;;;
;;;;;;;;;;kvinnors;;ställa;;fn;;;;
;;;;;;;;;;sämre;0;timmar;5;frågor;;;;
;;;;;;;;;;mäns;;vilka;;delaktighet;0;;;
;;;;;;;;;;steg;;kortare;;feministiskt;3;;;
;;;;;;;;;;fri;26;arbetstid;5;funktionsnedsättning;3;;;
;;;;;;;;;;feministiskt;3;långt;;prioriterade;0;;;
;;;;;;;;;;våld;8;rättsväsendet;8;rättigheter;3;;;
;;;;;;;;;;grundläggande;0;valet;;jämlikhet;3;;;
;;;;;;;;;;värld;;uppfylla;;jämlikt;3;;;
;;;;;;;;;;kvinnor;;kvinnor;;hbtq;3;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;PP;;PP;;;;
;;;;;;;;;;;;teknik;12;utveckling;12;;;
;;;;;;;;;;;;källkod;12;fulla;;;;
;;;;;;;;;;;;datorer;12;samhället;;;;
;;;;;;;;;;;;standarder;;offentlig;;;;
;;;;;;;;;;;;patentsystemet;12;utförare;;;;
;;;;;;;;;;;;innovation;12;framtiden;12;;;
;;;;;;;;;;;;vatten;9;politiska;;;;
;;;;;;;;;;;;användning;;fritt;26;;;
;;;;;;;;;;;;skolor;2;ålder;;;;
;;;;;;;;;;;;fria;26;kön;3;;;
;;;;;;;;;;;;öppen;0;kultur;22;;;
;;;;;;;;;;;;internet;12;sektor;6;;;
;;;;;;;;;;;;tillgängliga;0;fri;26;;;
;;;;;;;;;;;;fri;26;rösta;;;;
;;;;;;;;;;;;it;12;stat;;;;
;;;;;;;;;;;;mjukvarupatent;12;el;9;;;
;;;;;;;;;;;;tekniska;12;regler;;;;
;;;;;;;;;;;;läromedel;2;asyl;16;;;
;;;;;;;;;;;;patent;12;piratpartiet;14;;;
;;;;;;;;;;;;bredband;12;stöd;0;;;
